         7433371 function calls (7304118 primitive calls) in 5.823 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      201    0.001    0.000    0.040    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\generic.py:4027(take)
     7100    0.011    0.000    0.040    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\_array_api.py:818(_asarray_with_order)
      287    0.001    0.000    0.040    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\threadpoolctl.py:1131(_make_controller_from_path)
      432    0.003    0.000    0.039    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\internals\managers.py:317(apply)
      400    0.002    0.000    0.039    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\indexes\base.py:3820(get_indexer)
    29880    0.036    0.000    0.039    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\geographiclib\geodesic.py:122(_SinCosSeries)
     1000    0.003    0.000    0.039    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\cluster\_kmeans.py:279(_tolerance)
     6753    0.027    0.000    0.039    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\extmath.py:153(safe_sparse_dot)
    16800    0.023    0.000    0.038    0.000 C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\inspect.py:2676(__init__)
      501    0.002    0.000    0.038    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\indexing.py:1176(__getitem__)
    10543    0.003    0.000    0.036    0.000 {built-in method builtins.next}
      201    0.001    0.000    0.036    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\internals\managers.py:869(take)
      287    0.000    0.000    0.036    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\threadpoolctl.py:545(_realpath)
      100    0.000    0.000    0.036    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\frame.py:1400(_get_values_for_csv)
      287    0.001    0.000    0.036    0.000 <frozen ntpath>:678(realpath)
      100    0.000    0.000    0.035    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\internals\managers.py:459(get_values_for_csv)
    58655    0.015    0.000    0.035    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\dtypes\generic.py:42(_instancecheck)
     9500    0.005    0.000    0.035    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\_array_api.py:232(<genexpr>)
    14506    0.022    0.000    0.035    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\_array_api.py:459(_remove_non_arrays)
      100    0.000    0.000    0.035    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\decomposition\_pca.py:445(fit_transform)
     6000    0.007    0.000    0.035    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\geopy\point.py:461(from_sequence)
     7753    0.012    0.000    0.035    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\_array_api.py:148(device)
      601    0.035    0.000    0.035    0.000 {method '__exit__' of '_io._IOBase' objects}
      100    0.001    0.000    0.034    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\decomposition\_pca.py:483(_fit)
     1500    0.005    0.000    0.034    0.000 C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\pickle.py:1056(save_global)
   190904    0.030    0.000    0.034    0.000 {built-in method builtins.hasattr}
     1900    0.003    0.000    0.034    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\joblib\numpy_pickle.py:394(load_build)
